InternalID,ElementType,ElementID,ElementName,Language,CaptionType,Caption(Name),Caption(Desc)
5000645,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,% Cronograma,
5000703,Portlet,strat_item_hierarchy_projects,Strategic Item Hierarchy with Projects,Spanish,Portlet Grid Columns,% Cronograma,
5000714,Portlet,strat_persp_projects,Perspective Hierarchy with Projects,Spanish,Portlet Grid Columns,% Cronograma,
5000132,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object Attributes,Acción del Ciclo,
5000133,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Acción del Ciclo,
5000147,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Attributes,Acción del Ciclo,
5001258,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Attributes Instr,A pergunta será apresentada ao Gerente do Investimento durante um Ciclo de Avaliação Estratégica.,
5001263,MasterObject,strat_align_metric,Investment Alignment Metric,Portuguese,Object View Attributes Instr,A pergunta será apresentada ao Gerente do Investimento durante um Ciclo de Avaliação Estratégica.,
5000794,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Portuguese,Lookup Values,Abaixo da Média,
5000910,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Sections,Ação,
5000814,StaticLookup,STRAT_CYCLE_ACTION,Cycle Action,Portuguese,Lookup Types,Ação do Ciclo,
5000896,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object Attributes,Ação do Ciclo,
5000146,MasterObject,strat_eval_cycle,Evaluation Cycle,Spanish,Object View Sections,Acción,
5000897,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Attributes,Ação do Ciclo,
5000178,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Attributes,Activa,
5000179,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Attributes,Activa,
5000495,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Attributes,Activa,
5000502,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Attributes,Activa,
5000555,MasterObject,strat_dim,Strategic Dimension,Spanish,Object Attributes,Activa,
5000556,MasterObject,strat_dim,Strategic Dimension,Spanish,Object View Attributes,Activa,
5000559,MasterObject,strat_dim,Strategic Dimension,Spanish,Object View Attributes,Activa,
5000563,MasterObject,strat_dim,Strategic Dimension,Spanish,Object View Attributes,Activa,
5000289,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Activo,
5000305,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Activo,
5000368,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Activo,
5000454,MasterObject,strat_scope,Strategic Scope,Spanish,Object Attributes,Activo,
5000455,MasterObject,strat_scope,Strategic Scope,Spanish,Object View Attributes,Activo,
5000458,MasterObject,strat_scope,Strategic Scope,Spanish,Object View Attributes,Activo,
5000462,MasterObject,strat_scope,Strategic Scope,Spanish,Object View Attributes,Activo,
5000176,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object Attributes,Activa,
5000177,MasterObject,strat_bsc_persp,BSC Perspective,Spanish,Object View Attributes,Activa,
5000484,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object Attributes,Activo,
5000485,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Attributes,Activo,
5000242,MasterObject,strategic_item,Strategic Item,Spanish,Object Attributes,Activo,
5000911,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Attributes,Ação do Ciclo,
5000917,MasterObject,strat_eval_cycle,Evaluation Cycle,Portuguese,Object View Attributes,Ação do Ciclo,
5000796,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Portuguese,Lookup Values,Acima da Média,
5001533,Portlet,strat_kpi_followup2,Strategic KPI Target follow up,Portuguese,Portlets,Acompanhamento de Metas do KPI Estratégico,
5001518,Portlet,strat_kpi_followup,Strategic KPI Target follow up,Portuguese,Portlets,Acompanhamento do KPI Estratégico,
5000943,MasterObject,strat_bsc_persp,BSC Perspective,Portuguese,Object View Attributes,Ativa,
5001327,MasterObject,strat_dim,Strategic Dimension,Portuguese,Object View Attributes,Ativa,
5001069,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Ativo,
5001226,MasterObject,strat_scope,Strategic Scope,Portuguese,Object View Attributes,Ativo,
5001032,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Acumular KPIs,
5001338,Process,strat_kpi_calculation,Strategic KPI  Calculation,Portuguese,Process Step,Acumular KPIs,
5001031,MasterObject,strategic_item,Strategic Item,Portuguese,Object Attributes,Acumular Status dos KPIs dos Itens de Nível Inferior,
5001033,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Acumular Status dos KPIs dos Itens de Nível Inferior,
5001060,MasterObject,strategic_item,Strategic Item,Portuguese,Object View Attributes,Acumular Status dos KPIs dos Itens de Nível Inferior,
5001544,Group,strat_admin,Strategic Administrator,Portuguese,Groups,Administrador da Estratégia,
5000815,StaticLookup,STRAT_CYCLE_ACTION,Cycle Action,Portuguese,Lookup Values,Aguardar,
5000243,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes,Activo,
5000330,MasterObject,strat_kpi,Strategic KPI,Spanish,Object Attributes,Activo,
5000331,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Activo,
5001546,StockObjectCustAttr,strat_corp_alignment,inv.Strategic Alignment -Element-00388,Portuguese,Object Attributes,Alinhamento Corporativo,
5000357,MasterObject,strat_kpi,Strategic KPI,Spanish,Object View Attributes,Activo,
5000467,Menu,odf.strat_scopeList,Strategic Scopes,Spanish,Menu Actions,Alcances Estratégicos,Alcances Estratégicos
5000286,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes Instr,Métricas de Alineación son usadas para la selección y evaluación de Inversiones ,
5000303,MasterObject,strategic_item,Strategic Item,Spanish,Object View Attributes Instr,Métricas de Alineación son usadas para la selección y evaluación de Inversiones ,
5000512,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Sections,Escala de Alineación,
5001548,StockObjectCustAttr,strat_bu_alignment,inv.Strategic Alignment -Element-00392,Portuguese,Object Attributes,Alinhamento da Unidade de Negócios,
5000514,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Sections,Escala de Alineación,
5001547,StockObjectCustAttr,strat_dept_alignment,inv.Strategic Alignment -Element-00390,Portuguese,Object Attributes,Alinhamento Departamental,
5000520,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,Object View Sections,Escala de Alineación,
5000797,StaticLookup,STRAT_METRIC_VALUE,Strategic Metric Value,Portuguese,Lookup Values,Alto,
5000521,MasterObject,strat_align_metric,Investment Alignment Metric,Spanish,List Views,Escala de Alineación,
5000628,Portlet,strat_alignment_scales,Alignment Scales,Spanish,Portlets,Escala de Alineación,
5000643,Portlet,strat_hierarchy_with_projects,Strategic Hierarchy with Projects,Spanish,Portlet Grid Columns,Alineación a los Negócios,
