CYC00001-PR1014IAM00001,CYC00001-PR1014IAM00002,CYC00001-PR1014IAM00003,CYC00001-PR1014IAM00004,CYC00001-PR1014IAM00006,CYC00001-PR1014IAM00007,CYC00001-PR1014IAM00008,CYC00001-PR1014IAM00009,CYC00001-PR1014IAM00010,CYC00001-PR1014IAM00011,
CYC00001-PR1015IAM00001,CYC00001-PR1015IAM00002,CYC00001-PR1015IAM00003,CYC00001-PR1015IAM00004,CYC00001-PR1015IAM00006,CYC00001-PR1015IAM00007,CYC00001-PR1015IAM00008,CYC00001-PR1015IAM00009,CYC00001-PR1015IAM00010,CYC00001-PR1015IAM00011,
CYC00001-PR1016IAM00001,CYC00001-PR1016IAM00002,CYC00001-PR1016IAM00003,CYC00001-PR1016IAM00004,CYC00001-PR1016IAM00006,CYC00001-PR1016IAM00007,CYC00001-PR1016IAM00008,CYC00001-PR1016IAM00009,CYC00001-PR1016IAM00010,CYC00001-PR1016IAM00011,
CYC00001-PR1017IAM00001,CYC00001-PR1017IAM00002,CYC00001-PR1017IAM00003,CYC00001-PR1017IAM00004,CYC00001-PR1017IAM00006,CYC00001-PR1017IAM00007,CYC00001-PR1017IAM00008,CYC00001-PR1017IAM00009,CYC00001-PR1017IAM00010,CYC00001-PR1017IAM00011,
CYC00001-PR1018IAM00001,CYC00001-PR1018IAM00002,CYC00001-PR1018IAM00003,CYC00001-PR1018IAM00004,CYC00001-PR1018IAM00006,CYC00001-PR1018IAM00007,CYC00001-PR1018IAM00008,CYC00001-PR1018IAM00009,CYC00001-PR1018IAM00010,CYC00001-PR1018IAM00011,
CYC00001-PR1019IAM00001,CYC00001-PR1019IAM00002,CYC00001-PR1019IAM00003,CYC00001-PR1019IAM00004,CYC00001-PR1019IAM00006,CYC00001-PR1019IAM00007,CYC00001-PR1019IAM00008,CYC00001-PR1019IAM00009,CYC00001-PR1019IAM00010,CYC00001-PR1019IAM00011,
CYC00001-PR1020IAM00001,CYC00001-PR1020IAM00002,CYC00001-PR1020IAM00003,CYC00001-PR1020IAM00004,CYC00001-PR1020IAM00006,CYC00001-PR1020IAM00007,CYC00001-PR1020IAM00008,CYC00001-PR1020IAM00009,CYC00001-PR1020IAM00010,CYC00001-PR1020IAM00011,
CYC00001-PR1021IAM00001,CYC00001-PR1021IAM00002,CYC00001-PR1021IAM00003,CYC00001-PR1021IAM00004,CYC00001-PR1021IAM00006,CYC00001-PR1021IAM00007,CYC00001-PR1021IAM00008,CYC00001-PR1021IAM00009,CYC00001-PR1021IAM00010,CYC00001-PR1021IAM00011,
CYC00001-PR1022IAM00001,CYC00001-PR1022IAM00002,CYC00001-PR1022IAM00003,CYC00001-PR1022IAM00004,CYC00001-PR1022IAM00006,CYC00001-PR1022IAM00007,CYC00001-PR1022IAM00008,CYC00001-PR1022IAM00009,CYC00001-PR1022IAM00010,CYC00001-PR1022IAM00011,
CYC00001-PR1023IAM00001,CYC00001-PR1023IAM00002,CYC00001-PR1023IAM00003,CYC00001-PR1023IAM00004,CYC00001-PR1023IAM00006,CYC00001-PR1023IAM00007,CYC00001-PR1023IAM00008,CYC00001-PR1023IAM00009,CYC00001-PR1023IAM00010,CYC00001-PR1023IAM00011,
CYC00001-PR1025IAM00001,CYC00001-PR1025IAM00002,CYC00001-PR1025IAM00003,CYC00001-PR1025IAM00004,CYC00001-PR1025IAM00006,CYC00001-PR1025IAM00007,CYC00001-PR1025IAM00008,CYC00001-PR1025IAM00009,CYC00001-PR1025IAM00010,CYC00001-PR1025IAM00011,
CYC00001-PR1027IAM00001,CYC00001-PR1027IAM00002,CYC00001-PR1027IAM00003,CYC00001-PR1027IAM00004,CYC00001-PR1027IAM00006,CYC00001-PR1027IAM00007,CYC00001-PR1027IAM00008,CYC00001-PR1027IAM00009,CYC00001-PR1027IAM00010,CYC00001-PR1027IAM00011,
CYC00001-PR1028IAM00001,CYC00001-PR1028IAM00002,CYC00001-PR1028IAM00003,CYC00001-PR1028IAM00004,CYC00001-PR1028IAM00006,CYC00001-PR1028IAM00007,CYC00001-PR1028IAM00008,CYC00001-PR1028IAM00009,CYC00001-PR1028IAM00010,CYC00001-PR1028IAM00011,
CYC00001-PR1029IAM00001,CYC00001-PR1029IAM00002,CYC00001-PR1029IAM00003,CYC00001-PR1029IAM00004,CYC00001-PR1029IAM00006,CYC00001-PR1029IAM00007,CYC00001-PR1029IAM00008,CYC00001-PR1029IAM00009,CYC00001-PR1029IAM00010,CYC00001-PR1029IAM00011,
CYC00001-PR1030IAM00001,CYC00001-PR1030IAM00002,CYC00001-PR1030IAM00003,CYC00001-PR1030IAM00004,CYC00001-PR1030IAM00006,CYC00001-PR1030IAM00007,CYC00001-PR1030IAM00008,CYC00001-PR1030IAM00009,CYC00001-PR1030IAM00010,CYC00001-PR1030IAM00011,
CYC00001-PR1031IAM00001,CYC00001-PR1031IAM00002,CYC00001-PR1031IAM00003,CYC00001-PR1031IAM00004,CYC00001-PR1031IAM00006,CYC00001-PR1031IAM00007,CYC00001-PR1031IAM00008,CYC00001-PR1031IAM00009,CYC00001-PR1031IAM00010,CYC00001-PR1031IAM00011,
CYC00001-PR1032IAM00001,CYC00001-PR1032IAM00002,CYC00001-PR1032IAM00003,CYC00001-PR1032IAM00004,CYC00001-PR1032IAM00006,CYC00001-PR1032IAM00007,CYC00001-PR1032IAM00008,CYC00001-PR1032IAM00009,CYC00001-PR1032IAM00010,CYC00001-PR1032IAM00011,
CYC00001-PR1033IAM00001,CYC00001-PR1033IAM00002,CYC00001-PR1033IAM00003,CYC00001-PR1033IAM00004,CYC00001-PR1033IAM00006,CYC00001-PR1033IAM00007,CYC00001-PR1033IAM00008,CYC00001-PR1033IAM00009,CYC00001-PR1033IAM00010,CYC00001-PR1033IAM00011,
